"id_trabajo","titulo_id","empresa_id","salario_usd","moneda","nivel_experiencia","tipo_contrato","modalidad","anos_experiencia","industria_id","fecha_publicacion","fecha_limite_aplicacion","longitud_descripcion","escala_beneficios","residencia_empleado"
"AI00064",10,3,70927.0,"JPY","principiante","temporal","presencial",1,4,"2024-03-07","2024-04-05",1847,9.3,"Japon"
"AI00065",3,15,80810.0,"GBP","principiante","parcial","presencial",1,11,"2024-10-30","2025-01-01",1476,5.4,"Reino Unido"
"AI00066",7,3,59614.0,"SGD","principiante","temporal","remoto",1,9,"2024-11-07","2024-12-19",1581,7.3,"Singapur"
"AI00067",5,3,151907.0,"EUR","ejecutivo","completo","hibrido",16,13,"2024-09-21","2024-10-16",1433,6.1,"Ghana"
"AI00068",1,7,76317.0,"USD","ejecutivo","temporal","presencial",14,11,"2024-06-19","2024-07-15",1228,9.1,"India"
"AI00069",20,5,160534.0,"USD","avanzado","autonomo","remoto",9,5,"2024-06-10","2024-07-07",1651,8.3,"Dinamarca"
"AI00070",6,15,40687.0,"USD","intermedio","completo","hibrido",3,1,"2024-07-16","2024-08-25",804,7.3,"India"
"AI00071",4,7,129265.0,"AUD","avanzado","autonomo","presencial",5,6,"2025-04-06","2025-05-07",2410,6.9,"Australia"
"AI00072",19,5,94396.0,"USD","ejecutivo","parcial","remoto",18,7,"2024-07-30","2024-08-18",1033,9.5,"China"
"AI00073",19,3,158237.0,"USD","ejecutivo","temporal","presencial",11,3,"2025-01-24","2025-03-29",1676,6.0,"Corea del Sur"
"AI00074",5,10,239068.0,"USD","ejecutivo","parcial","hibrido",18,13,"2024-08-26","2024-10-30",1321,6.8,"Dinamarca"
"AI00075",5,13,81401.0,"USD","intermedio","autonomo","presencial",2,14,"2025-02-07","2025-04-11",1930,6.3,"Belgica"
"AI00076",15,8,144229.0,"CHF","intermedio","completo","presencial",2,13,"2024-01-02","2024-03-02",1213,9.5,"Japon"
"AI00077",6,2,78936.0,"EUR","intermedio","autonomo","presencial",4,6,"2024-11-30","2025-01-03",697,6.9,"Alemania"
"AI00078",6,8,101054.0,"USD","avanzado","parcial","presencial",6,9,"2025-02-04","2025-03-20",2396,8.8,"Reino Unido"
"AI00079",15,1,91807.0,"EUR","avanzado","completo","hibrido",9,10,"2024-07-21","2024-09-13",1519,8.3,"Austria"
"AI00080",7,6,49858.0,"EUR","principiante","temporal","remoto",1,9,"2024-01-25","2024-04-02",1215,9.2,"Singapur"
"AI00081",5,16,80596.0,"EUR","principiante","completo","presencial",1,10,"2024-06-27","2024-08-26",1512,6.8,"Suiza"
"AI00082",2,11,76026.0,"USD","intermedio","completo","hibrido",4,9,"2025-02-12","2025-03-24",1079,8.0,"Suecia"
"AI00083",8,4,84841.0,"USD","intermedio","temporal","presencial",4,1,"2024-11-18","2025-01-05",2456,5.7,"Suecia"
"AI00084",1,3,158900.0,"CHF","avanzado","autonomo","hibrido",8,3,"2024-06-14","2024-07-05",2367,6.0,"Suiza"
"AI00085",18,2,153858.0,"EUR","ejecutivo","temporal","hibrido",13,5,"2025-04-29","2025-06-21",2133,5.1,"Alemania"
"AI00086",1,14,115314.0,"USD","intermedio","temporal","presencial",3,12,"2024-06-01","2024-06-27",1783,7.9,"Finlandia"
"AI00087",7,9,181068.0,"USD","ejecutivo","completo","remoto",13,1,"2024-01-26","2024-03-25",1322,8.5,"Israel"
"AI00088",12,7,119021.0,"USD","principiante","completo","presencial",1,1,"2025-03-07","2025-05-10",1461,7.3,"Portugal"
"AI00089",16,14,219746.0,"USD","ejecutivo","autonomo","remoto",15,3,"2024-07-02","2024-09-12",1485,7.0,"Republica Checa"
"AI00090",6,7,115774.0,"USD","ejecutivo","autonomo","hibrido",10,12,"2024-02-04","2024-03-09",1618,5.3,"China"
"AI00091",6,7,130984.0,"CHF","principiante","parcial","hibrido",1,14,"2024-01-08","2024-03-20",1774,5.3,"Filipinas"
"AI00092",13,12,191223.0,"CHF","ejecutivo","completo","presencial",18,9,"2024-04-07","2024-06-07",1926,6.8,"Alemania"
"AI00093",6,13,155502.0,"USD","avanzado","completo","hibrido",9,6,"2025-01-29","2025-02-22",2449,7.6,"Italia"
"AI00094",15,11,86140.0,"EUR","intermedio","parcial","hibrido",4,12,"2025-03-11","2025-04-12",1816,7.3,"Corea del Sur"
"AI00095",14,13,96028.0,"GBP","intermedio","autonomo","presencial",4,9,"2025-03-09","2025-03-28",1878,6.6,"Australia"
"AI00096",9,11,134920.0,"USD","avanzado","parcial","presencial",7,6,"2025-04-03","2025-05-12",1930,6.7,"Estados Unidos"
"AI00097",17,13,107694.0,"USD","avanzado","autonomo","hibrido",5,14,"2024-03-20","2024-04-22",2292,5.1,"Estonia"
"AI00098",8,16,114301.0,"USD","intermedio","completo","presencial",4,12,"2025-02-08","2025-03-05",1506,7.5,"Finlandia"
"AI00099",11,4,92728.0,"GBP","intermedio","completo","presencial",4,1,"2024-12-25","2025-02-05",1948,9.3,"Reino Unido"
"AI00100",19,11,76826.0,"SGD","principiante","parcial","hibrido",1,7,"2025-04-08","2025-05-10",804,7.4,"Singapur"
"AI00101",6,4,48870.0,"USD","avanzado","parcial","presencial",7,9,"2025-03-26","2025-05-16",1108,5.6,"India"
"AI00102",1,11,89527.0,"AUD","intermedio","completo","hibrido",4,3,"2024-12-09","2024-12-30",1299,5.8,"Estados Unidos"
"AI00103",18,16,81103.0,"AUD","principiante","temporal","presencial",0,13,"2024-05-26","2024-08-07",2055,7.0,"Australia"
"AI00104",7,14,283428.0,"USD","ejecutivo","temporal","presencial",13,9,"2025-03-10","2025-05-11",1275,5.1,"Dinamarca"
"AI00105",10,4,104906.0,"USD","intermedio","autonomo","hibrido",3,4,"2025-01-26","2025-03-28",2101,8.0,"Portugal"
"AI00106",12,7,231496.0,"USD","ejecutivo","parcial","hibrido",18,2,"2025-02-13","2025-04-10",895,5.5,"Finlandia"
"AI00107",5,15,147402.0,"JPY","avanzado","completo","remoto",8,2,"2024-12-11","2025-02-01",593,7.0,"Japon"
"AI00108",1,6,69331.0,"EUR","principiante","completo","remoto",1,9,"2025-04-11","2025-05-21",639,8.8,"Austria"
"AI00109",6,9,215842.0,"EUR","ejecutivo","temporal","presencial",12,9,"2024-12-19","2025-01-28",2098,6.7,"Francia"
"AI00110",1,11,79833.0,"USD","avanzado","parcial","presencial",6,9,"2024-01-04","2024-01-18",1284,5.7,"Corea del Sur"
"AI00111",1,5,304859.0,"USD","ejecutivo","completo","remoto",15,13,"2025-03-22","2025-05-05",2460,6.0,"Noruega"
"AI00112",17,16,112217.0,"EUR","avanzado","temporal","presencial",8,4,"2025-03-07","2025-04-23",1679,10.0,"Israel"
"AI00113",2,8,45738.0,"USD","principiante","autonomo","remoto",0,15,"2024-03-17","2024-04-05",1481,9.5,"Corea del Sur"
"AI00114",11,8,195309.0,"EUR","ejecutivo","parcial","hibrido",18,6,"2024-12-14","2025-02-23",1277,5.3,"Alemania"
"AI00115",1,16,141439.0,"USD","avanzado","autonomo","hibrido",9,14,"2024-06-24","2024-07-13",1021,6.3,"Estados Unidos"
"AI00116",6,11,125836.0,"USD","intermedio","completo","remoto",2,1,"2024-12-27","2025-02-22",1650,10.0,"Noruega"
"AI00117",11,2,58213.0,"USD","principiante","completo","hibrido",0,8,"2025-04-13","2025-06-08",1087,5.5,"Tailandia"
"AI00118",13,3,82191.0,"EUR","intermedio","temporal","presencial",2,13,"2024-08-05","2024-10-16",1906,9.5,"Alemania"
"AI00119",11,13,207975.0,"AUD","ejecutivo","temporal","presencial",13,8,"2025-02-21","2025-04-07",1475,9.9,"Colombia"
"AI00120",4,14,115664.0,"USD","avanzado","parcial","presencial",7,2,"2024-03-27","2024-05-15",1449,7.8,"Irlanda"
"AI00121",12,11,109337.0,"USD","avanzado","parcial","hibrido",9,7,"2025-04-26","2025-05-13",901,8.1,"Irlanda"
"AI00122",16,14,115386.0,"USD","avanzado","parcial","remoto",7,11,"2024-09-02","2024-11-03",2387,6.7,"Finlandia"
"AI00123",18,8,64431.0,"GBP","principiante","completo","hibrido",1,2,"2025-01-25","2025-02-25",825,9.0,"Reino Unido"
"AI00124",3,14,108088.0,"USD","avanzado","autonomo","remoto",9,6,"2024-10-07","2024-12-15",1769,8.0,"Estados Unidos"
"AI00125",13,4,228314.0,"GBP","ejecutivo","completo","hibrido",16,8,"2024-10-18","2024-12-04",1005,6.5,"Reino Unido"
"AI00126",1,7,153260.0,"AUD","avanzado","temporal","presencial",9,10,"2025-04-02","2025-05-04",1768,9.7,"Australia"
"AI00127",1,15,63667.0,"USD","intermedio","temporal","remoto",4,11,"2025-03-20","2025-05-12",1336,7.9,"Noruega"
"AI00128",17,12,31185.0,"USD","intermedio","autonomo","remoto",3,9,"2025-03-11","2025-04-07",1510,9.2,"Colombia"
"AI00129",7,3,132167.0,"EUR","avanzado","parcial","hibrido",9,10,"2024-08-04","2024-10-12",1110,6.2,"Alemania"
"AI00130",20,14,223349.0,"JPY","ejecutivo","autonomo","remoto",11,5,"2024-07-31","2024-09-27",1489,5.9,"Japon"
"AI00131",14,7,26957.0,"USD","principiante","temporal","remoto",1,1,"2025-03-23","2025-04-17",2335,9.5,"India"
"AI00132",12,5,93564.0,"USD","intermedio","temporal","presencial",2,1,"2025-03-25","2025-04-13",515,9.7,"Suecia"
"AI00133",4,7,113846.0,"EUR","avanzado","parcial","remoto",6,11,"2024-09-02","2024-10-30",2447,7.8,"Francia"
"AI00134",15,2,147580.0,"EUR","ejecutivo","autonomo","presencial",17,8,"2024-11-13","2025-01-10",2416,5.9,"Francia"
"AI00135",3,4,50514.0,"CAD","principiante","parcial","remoto",1,2,"2024-08-04","2024-08-28",2384,9.0,"Filipinas"
"AI00136",10,13,94158.0,"EUR","intermedio","autonomo","remoto",2,10,"2024-09-01","2024-10-10",867,5.5,"Vietnam"
"AI00137",9,4,161009.0,"EUR","ejecutivo","autonomo","hibrido",19,1,"2024-02-17","2024-03-17",1247,7.1,"Países Bajos"
"AI00138",16,2,91911.0,"USD","ejecutivo","completo","remoto",15,4,"2024-06-15","2024-08-15",2149,5.9,"India"
"AI00139",15,13,248071.0,"EUR","ejecutivo","autonomo","hibrido",15,6,"2025-04-13","2025-04-29",616,7.6,"Republica Checa"
"AI00140",18,12,150204.0,"EUR","avanzado","parcial","hibrido",9,1,"2025-03-18","2025-04-12",1478,6.3,"Alemania"
"AI00141",10,1,181517.0,"EUR","avanzado","temporal","hibrido",9,7,"2024-08-13","2024-09-05",981,8.9,"Países Bajos"
"AI00142",16,6,64573.0,"EUR","principiante","parcial","remoto",1,7,"2024-07-19","2024-09-30",1495,9.2,"Francia"
"AI00143",13,11,89332.0,"USD","intermedio","temporal","remoto",4,3,"2024-08-20","2024-10-23",2011,6.0,"Estados Unidos"
"AI00144",7,13,118239.0,"USD","avanzado","autonomo","hibrido",9,11,"2024-08-03","2024-09-22",576,8.1,"Indonesia"
"AI00145",15,12,103715.0,"JPY","intermedio","completo","hibrido",4,2,"2024-12-11","2025-01-20",2224,9.3,"Japon"
"AI00146",6,4,151680.0,"AUD","ejecutivo","autonomo","remoto",14,15,"2024-06-20","2024-07-31",2439,6.9,"Australia"
"AI00147",16,11,142589.0,"EUR","avanzado","completo","presencial",8,7,"2024-10-25","2024-11-11",2431,6.0,"Países Bajos"
"AI00148",17,14,63062.0,"USD","principiante","parcial","hibrido",1,12,"2024-09-05","2024-10-18",1558,6.7,"Suecia"
"AI00149",3,7,80691.0,"JPY","principiante","temporal","remoto",1,14,"2024-12-21","2025-01-04",624,8.1,"Japon"
"AI00150",16,11,171580.0,"JPY","avanzado","parcial","remoto",7,15,"2024-10-14","2024-12-09",1931,6.7,"Kenia"
"AI00151",18,4,58331.0,"USD","avanzado","parcial","presencial",5,1,"2024-11-23","2025-01-24",2002,6.1,"Chile"
"AI00152",2,3,85620.0,"CAD","intermedio","completo","remoto",4,9,"2025-01-22","2025-02-23",848,5.8,"Canada"
"AI00153",6,8,220871.0,"EUR","ejecutivo","completo","presencial",14,2,"2024-06-28","2024-07-31",821,5.2,"Austria"
"AI00154",13,4,93007.0,"EUR","intermedio","temporal","hibrido",4,11,"2024-06-05","2024-07-23",1595,6.4,"Francia"
"AI00155",15,5,191783.0,"SGD","ejecutivo","completo","remoto",14,9,"2024-10-04","2024-10-27",2352,5.6,"Singapur"
"AI00156",2,14,83683.0,"USD","intermedio","autonomo","hibrido",3,10,"2024-05-15","2024-06-07",818,5.3,"Republica Checa"
"AI00157",17,11,107869.0,"USD","avanzado","autonomo","hibrido",8,3,"2024-02-17","2024-04-01",2148,7.3,"Irlanda"
"AI00158",18,15,73528.0,"USD","intermedio","parcial","presencial",2,3,"2024-03-01","2024-05-05",557,8.0,"Polonia"
"AI00159",19,8,47642.0,"USD","intermedio","autonomo","remoto",3,8,"2024-11-22","2025-01-13",2171,8.0,"Suecia"
"AI00160",12,9,179937.0,"EUR","avanzado","parcial","hibrido",6,12,"2024-06-01","2024-07-29",774,8.1,"Países Bajos"
"AI00161",3,12,157066.0,"CHF","intermedio","parcial","presencial",2,1,"2024-05-01","2024-05-26",887,9.0,"Suecia"
"AI00162",1,7,57299.0,"USD","principiante","temporal","presencial",1,14,"2024-01-17","2024-02-19",794,7.8,"Israel"
"AI00163",3,16,176844.0,"CAD","ejecutivo","autonomo","hibrido",10,8,"2024-06-08","2024-07-19",577,5.4,"Francia"
"AI00164",20,15,64892.0,"CAD","principiante","temporal","hibrido",1,1,"2024-11-05","2025-01-03",1645,5.7,"Canada"
"AI00165",15,15,63024.0,"EUR","principiante","temporal","presencial",1,5,"2024-04-04","2024-05-05",1745,9.2,"Austria"
"AI00166",9,15,136695.0,"CHF","intermedio","autonomo","hibrido",2,5,"2024-12-10","2024-12-27",1424,5.9,"Suiza"
"AI00167",1,10,69744.0,"USD","principiante","parcial","hibrido",1,8,"2024-12-30","2025-01-22",1077,8.4,"Corea del Sur"
"AI00168",15,1,135137.0,"EUR","ejecutivo","autonomo","presencial",18,3,"2024-04-06","2024-05-17",1590,5.4,"Austria"
"AI00169",4,10,143037.0,"USD","ejecutivo","autonomo","presencial",13,15,"2024-05-24","2024-07-07",775,9.5,"Suecia"
"AI00170",7,9,113068.0,"GBP","avanzado","completo","remoto",9,5,"2024-06-10","2024-07-05",1805,6.6,"Reino Unido"
"AI00171",12,13,113917.0,"GBP","avanzado","parcial","presencial",9,7,"2024-10-07","2024-10-26",1720,7.3,"Rusia"
"AI00172",2,14,80311.0,"USD","ejecutivo","parcial","hibrido",13,3,"2025-01-17","2025-03-11",1052,5.0,"India"
"AI00173",18,14,160261.0,"EUR","avanzado","temporal","hibrido",6,10,"2024-02-26","2024-04-16",748,9.9,"Alemania"
"AI00174",17,6,152241.0,"CHF","avanzado","autonomo","hibrido",8,5,"2024-04-05","2024-06-05",1807,5.9,"Suiza"
"AI00175",17,15,74172.0,"USD","intermedio","temporal","remoto",2,7,"2024-01-24","2024-03-22",1780,7.5,"Israel"
"AI00176",4,9,105632.0,"USD","intermedio","autonomo","remoto",3,7,"2025-01-03","2025-01-30",2376,9.4,"Noruega"
"AI00177",9,7,89515.0,"SGD","intermedio","temporal","remoto",4,5,"2025-01-17","2025-03-29",2328,7.4,"Sudafrica"
"AI00178",12,4,102319.0,"USD","intermedio","autonomo","hibrido",4,11,"2024-07-14","2024-08-01",1939,6.2,"Colombia"
"AI00179",12,8,110536.0,"USD","intermedio","temporal","hibrido",2,12,"2024-05-01","2024-06-22",1559,5.4,"Francia"
"AI00180",19,6,176372.0,"USD","avanzado","autonomo","presencial",5,4,"2024-05-02","2024-07-05",729,8.0,"Dinamarca"
"AI00181",12,16,58111.0,"EUR","principiante","completo","remoto",0,3,"2024-01-20","2024-02-17",889,5.6,"Austria"
"AI00182",10,16,39802.0,"USD","avanzado","parcial","remoto",8,6,"2024-02-05","2024-03-06",2046,8.3,"España"
"AI00183",2,2,147385.0,"EUR","avanzado","autonomo","hibrido",9,6,"2024-03-08","2024-03-25",1576,8.6,"Dinamarca"
"AI00184",17,2,118122.0,"USD","principiante","completo","presencial",0,2,"2024-07-20","2024-09-06",2018,9.3,"Dinamarca"
"AI00185",14,9,75225.0,"AUD","principiante","completo","remoto",0,12,"2024-10-10","2024-11-26",2399,7.5,"Rusia"
"AI00186",20,15,48325.0,"CAD","principiante","autonomo","remoto",0,15,"2025-03-26","2025-06-07",1523,6.2,"Canada"
"AI00187",1,6,64973.0,"USD","principiante","temporal","presencial",0,11,"2024-03-08","2024-04-24",1016,6.4,"Suecia"
"AI00188",4,2,78182.0,"AUD","intermedio","parcial","hibrido",4,14,"2024-03-22","2024-05-22",1582,7.9,"Australia"
"AI00189",16,5,357875.0,"USD","ejecutivo","parcial","hibrido",10,14,"2024-01-19","2024-02-27",1044,8.0,"Noruega"
"AI00190",12,5,61953.0,"USD","avanzado","completo","hibrido",8,3,"2024-08-20","2024-10-14",1469,6.3,"India"
"AI00191",10,14,236982.0,"USD","ejecutivo","autonomo","presencial",10,5,"2025-03-20","2025-04-03",597,5.1,"Polonia"
"AI00192",9,10,90203.0,"EUR","intermedio","parcial","hibrido",3,3,"2025-03-08","2025-05-12",1774,7.5,"Austria"
"AI00193",19,8,109984.0,"JPY","avanzado","temporal","presencial",7,11,"2024-08-07","2024-08-31",1535,8.0,"Suiza"
"AI00194",15,9,146371.0,"CAD","ejecutivo","parcial","remoto",14,9,"2024-11-15","2024-12-17",2313,5.4,"Irlanda"
"AI00195",8,11,268088.0,"EUR","ejecutivo","parcial","presencial",10,3,"2024-11-04","2024-12-21",1385,9.5,"Países Bajos"
"AI00196",3,8,97647.0,"GBP","intermedio","temporal","hibrido",4,7,"2024-02-27","2024-04-08",1305,6.2,"Noruega"
"AI00197",9,9,221711.0,"EUR","ejecutivo","completo","presencial",17,5,"2025-01-14","2025-03-16",1652,8.9,"Turquia"
"AI00198",1,7,78716.0,"EUR","principiante","parcial","remoto",0,2,"2024-07-12","2024-08-13",2401,8.2,"Alemania"
"AI00199",9,8,169717.0,"CHF","avanzado","temporal","hibrido",5,10,"2024-03-07","2024-04-03",1003,9.5,"Suiza"
"AI00200",16,12,92798.0,"EUR","intermedio","temporal","hibrido",4,6,"2024-09-07","2024-11-12",1685,6.4,"Austria"
"AI00201",10,16,37177.0,"USD","intermedio","autonomo","presencial",2,2,"2024-06-13","2024-08-25",869,6.1,"China"
"AI00202",16,13,85505.0,"USD","intermedio","temporal","hibrido",4,5,"2025-01-21","2025-03-28",1983,5.1,"Israel"
"AI00203",5,5,113625.0,"EUR","intermedio","completo","remoto",3,2,"2024-12-13","2025-01-02",2036,5.8,"Francia"
"AI00204",13,8,121846.0,"AUD","avanzado","parcial","hibrido",6,14,"2025-02-06","2025-04-20",2213,7.4,"Australia"
"AI00205",5,12,115136.0,"JPY","intermedio","completo","hibrido",3,3,"2024-08-09","2024-09-03",1542,6.3,"Japon"
"AI00206",1,11,265646.0,"EUR","ejecutivo","completo","presencial",16,9,"2024-12-28","2025-01-11",1473,9.4,"Canada"
"AI00207",6,6,92726.0,"CHF","principiante","completo","presencial",0,8,"2024-09-22","2024-11-17",2013,9.8,"Suiza"
"AI00208",17,10,50607.0,"USD","principiante","autonomo","remoto",0,8,"2024-06-10","2024-08-05",1801,8.6,"Israel"
